"id"	"id2"	"id3"	"sex"	"weight"	"TL"	"radmm"	"date"	"area"	"age"	"agei"	"ecotype"
"BH-01812"	15	33	"f"	8900	1020	0.8161	"22.11.2019"	"SB"	6	2	1
"BH-01812"	15	33	"f"	8900	1020	1.0542	"22.11.2019"	"SB"	6	3	1
"BH-01812"	15	33	"f"	8900	1020	1.1387	"22.11.2019"	"SB"	6	4	1
"BH-01812"	15	33	"f"	8900	1020	1.2686	"22.11.2019"	"SB"	6	5	1
"BH-01812"	15	33	"f"	8900	1020	1.3757	"22.11.2019"	"SB"	6	6	1
"BH-01814"	16	34	"m"	3600	780	0.4276	"26.2.2020"	"KB"	6	1	1
"BH-01814"	16	34	"m"	3600	780	0.796	"26.2.2020"	"KB"	6	2	1
"BH-01814"	16	34	"m"	3600	780	0.9538	"26.2.2020"	"KB"	6	3	1
"BH-01814"	16	34	"m"	3600	780	1.0786	"26.2.2020"	"KB"	6	4	1
"BH-01814"	16	34	"m"	3600	780	1.2684	"26.2.2020"	"KB"	6	5	1
"BH-01814"	16	34	"m"	3600	780	1.4402	"26.2.2020"	"KB"	6	6	1
"BH-01819"	17	35	"m"	2800	680	0.3805	"27.2.2020"	"KB"	5	1	1
"BH-01819"	17	35	"m"	2800	680	0.5438	"27.2.2020"	"KB"	5	2	1
"BH-01819"	17	35	"m"	2800	680	0.7012	"27.2.2020"	"KB"	5	3	1
"BH-01819"	17	35	"m"	2800	680	0.8443	"27.2.2020"	"KB"	5	4	1
"BH-01819"	17	35	"m"	2800	680	0.9701	"27.2.2020"	"KB"	5	5	1
"BH-01835"	18	36	"m"	3800	820	0.4795	"26.2.2020"	"KB"	6	1	1
"BH-01835"	18	36	"m"	3800	820	0.7254	"26.2.2020"	"KB"	6	2	1
"BH-01835"	18	36	"m"	3800	820	0.8897	"26.2.2020"	"KB"	6	3	1
"BH-01835"	18	36	"m"	3800	820	1.0745	"26.2.2020"	"KB"	6	4	1
"BH-01835"	18	36	"m"	3800	820	1.2063	"26.2.2020"	"KB"	6	5	1
"BH-01835"	18	36	"m"	3800	820	1.3386	"26.2.2020"	"KB"	6	6	1
"BH-01846"	19	37	"m"	NA	880	0.5325	"16.2.2020"	"BEG"	13	1	1
"BH-01846"	19	37	"m"	NA	880	0.7739	"16.2.2020"	"BEG"	13	2	1
"BH-01846"	19	37	"m"	NA	880	0.9479	"16.2.2020"	"BEG"	13	3	1
"BH-01846"	19	37	"m"	NA	880	1.1066	"16.2.2020"	"BEG"	13	4	1
"BH-01846"	19	37	"m"	NA	880	1.3054	"16.2.2020"	"BEG"	13	5	1
"BH-01846"	19	37	"m"	NA	880	1.4307	"16.2.2020"	"BEG"	13	6	1
"BH-01846"	19	37	"m"	NA	880	1.5289	"16.2.2020"	"BEG"	13	7	1
"BH-01846"	19	37	"m"	NA	880	1.6072	"16.2.2020"	"BEG"	13	8	1
"BH-01846"	19	37	"m"	NA	880	1.692	"16.2.2020"	"BEG"	13	9	1
"BH-01846"	19	37	"m"	NA	880	1.7746	"16.2.2020"	"BEG"	13	10	1
"BH-01846"	19	37	"m"	NA	880	1.9024	"16.2.2020"	"BEG"	13	11	1
"BH-01846"	19	37	"m"	NA	880	2.0614	"16.2.2020"	"BEG"	13	12	1
"BH-01846"	19	37	"m"	NA	880	2.1505	"16.2.2020"	"BEG"	13	13	1
"BH-01850"	8	38	"f"	NA	910	0.4201	"14.2.2020"	"BEG"	6	1	3
