"ID"	"waterbody"	"capt"	"clust"	"age"	"cohort"	"weight"	"TL"	"sex"	"lifeyear"	"year"	"inc"	"rad"	"d18O_mean"	"d18O_max"	"d18O_min"	"res_mean"	"res_max"	"res_min"	"Sr_mean"	"Sr_max"	"Sr_min"	"type"	"turbidity"	"SAL"	"WT"	"P"
"BH-01846"	"NRB"	"BEG"	"HighS|Tconstant"	13	2007	NA	880	"m"	"11"	2018	127.8	1902.4	-4.34432132857143	-4.34432132857143	-4.34432132857143	1.08722168426183	1.08722168426183	1.08722168426183	0.00537349206349206	0.00553023809523809	0.00525111111111111	"Coast"	1.9047619047619	8.24695121951219	13.344	1.8807
"BH-01850"	"NRB"	"BEG"	"LowS|Tshift"	6	2014	NA	910	"f"	"1"	2015	420.1	420.1	-5.71505883636364	-4.36926444285714	-6.88990471428571	1.14023815771273	2.51093243584049	-0.293020951330295	0.00297193503664092	0.00446444444444444	0.00239235294117647	"Coast"	1.56666666666667	8.4698275862069	11.4841379310345	1.77043103448276
"BH-01850"	"NRB"	"BEG"	"LowS|Tshift"	6	2014	NA	910	"f"	"2"	2016	251.6	671.7	-4.32440148035714	-4.14616214285714	-4.7309396	2.23293043723312	2.38922356609303	1.96732220906428	0.00316255174291939	0.00393823529411765	0.00284440087145969	"Coast"	1.43846153846154	8.53272727272727	11.6740909090909	1.72754545454545
"BH-01850"	"NRB"	"BEG"	"LowS|Tshift"	6	2014	NA	910	"f"	"3"	2017	175.5	847.2	-4.30801524	-3.97017461428571	-4.51060875714286	1.99436332388217	2.25521787379693	1.80750887265611	0.00370311982570806	0.00385270152505447	0.00343411764705882	"Coast"	1.5875	8.4969696969697	13.7030303030303	2.20378787878788
"BH-01850"	"NRB"	"BEG"	"LowS|Tshift"	6	2014	NA	910	"f"	"4"	2018	149.4	996.6	-4.58876384857143	-4.34570705714286	-4.72401095714286	1.55623244358278	1.87244529283196	1.41074408166568	0.00409703703703704	0.00446631808278867	0.00333346405228758	"Coast"	1.9047619047619	8.24695121951219	13.344	1.8807
"BH-01850"	"NRB"	"BEG"	"LowS|Tshift"	6	2014	NA	910	"f"	"5"	2019	170.1	1166.7	-4.80761658095238	-4.64225297142857	-4.99699948571429	1.16661912981586	1.43623456071597	1.06981118830085	0.00422311546840959	0.00484100217864924	0.00387525054466231	"Coast"	1.76470588235294	8.93888888888889	11.5088888888889	1.36544444444444
"BH-01855"	"WRB"	"SB"	"HighS|Tconstant"	7	2013	2500	722	"m"	"1"	2014	395.6	395.6	-6.97212460952381	-6.52822955714286	-7.52595412857143	-0.678755751265427	-0.306188537941458	-1.15239541795929	0.00380860890652557	0.00458079365079365	0.00315611111111111	"Coast"	1.84642857142857	7.90444444444444	13.0943333333333	1.33588888888889
"BH-01855"	"WRB"	"SB"	"HighS|Tconstant"	7	2013	2500	722	"m"	"2"	2015	242.6	638.2	-6.27002213333333	-5.80210778571429	-6.81091818571429	-0.43533382580742	-0.164651996882296	-0.743931575092088	0.00443865079365079	0.00533460317460317	0.0038410582010582	"Coast"	1.846875	9.388	11.0185	1.2695
"BH-01855"	"WRB"	"SB"	"HighS|Tconstant"	7	2013	2500	722	"m"	"3"	2016	118.7	756.9	-6.01606427714286	-5.8464511	-6.23999801428571	-0.709190412867892	-0.558587098281164	-0.896446806952689	0.0052688253968254	0.00556650793650794	0.00475216931216931	"Coast"	2.27333333333333	8.75531914893617	11.7181914893617	1.17670212765957
"BH-01855"	"WRB"	"SB"	"HighS|Tconstant"	7	2013	2500	722	"m"	"4"	2017	179.1	936	-5.70268176071429	-5.42241815714286	-6.00996707142857	-0.3725961290406	-0.0544377139442273	-0.70985954192984	0.00614365740740741	0.00678150793650794	0.00586809523809524	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
