"ID"	"ID2"	"sex"	"weight_g"	"TL_mm"	"rad_mm"	"area"	"age"	"lifeyear"	"ecotype_char"	"ecotype_num"
"BH-01585"	32	"m"	NA	760	1.2002	"NRB"	10	6	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	1.3115	"NRB"	10	7	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	1.4137	"NRB"	10	8	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	1.5151	"NRB"	10	9	"BW-resident"	1
"BH-01585"	32	"m"	NA	760	1.6469	"NRB"	10	10	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	0.4377	"NRB"	10	1	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	0.6521	"NRB"	10	2	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	0.8198	"NRB"	10	3	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	0.9693	"NRB"	10	4	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	1.1077	"NRB"	10	5	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	1.2179	"NRB"	10	6	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	1.3378	"NRB"	10	7	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	1.4873	"NRB"	10	8	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	1.6257	"NRB"	10	9	"BW-resident"	1
"BH-01588"	33	"f"	NA	1050	1.774	"NRB"	10	10	"BW-resident"	1
"BH-01594"	34	"f"	NA	630	0.569	"NRB"	2	1	"BW-resident"	1
"BH-01594"	34	"f"	NA	630	0.869	"NRB"	2	2	"BW-resident"	1
"BH-01595"	35	"m"	NA	690	0.5188	"NRB"	4	1	"Trans-habitat"	4
"BH-01595"	35	"m"	NA	690	0.775	"NRB"	4	2	"Trans-habitat"	4
"BH-01595"	35	"m"	NA	690	0.9745	"NRB"	4	3	"Trans-habitat"	4
"BH-01595"	35	"m"	NA	690	1.1829	"NRB"	4	4	"Trans-habitat"	4
"BH-01596"	36	"f"	NA	660	0.5564	"NRB"	2	1	"Trans-habitat"	4
"BH-01596"	36	"f"	NA	660	0.8335	"NRB"	2	2	"Trans-habitat"	4
