"ID"	"waterbody"	"TL_mm"	"clust"	"ecotype"	"sex"	"lifeyear"	"inc_um"	"res_mean"	"Sr_mean"
"BH-01598"	"NRB"	750	"BW int saline|cold"	"BW-resident"	"f"	4	294.9	1.02500842633453	0.975257904283566
"BH-01713"	"WRB"	980	"BW int saline|cold"	"BW-resident"	"f"	1	656.1	0.874002939045902	-0.175836357699952
"BH-01713"	"WRB"	980	"BW int saline|cold"	"BW-resident"	"f"	2	233	1.08765659149867	-0.209088221793759
"BH-01713"	"WRB"	980	"BW int saline|cold"	"BW-resident"	"f"	3	182.3	1.05452575940652	0.148307781761889
"BH-01713"	"WRB"	980	"BW int saline|cold"	"BW-resident"	"f"	4	178.1	0.611636990194015	0.630437306616244
"BH-01713"	"WRB"	980	"BW int saline|cold"	"BW-resident"	"f"	5	167.1	0.228009350800233	0.654064847967004
"BH-01713"	"WRB"	980	"BW int saline|cold"	"BW-resident"	"f"	6	124	0.0566233498352295	0.954462624502864
"BH-01713"	"WRB"	980	"BW int saline|cold"	"BW-resident"	"f"	7	108.8	-0.257310614779386	1.02826531899047
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	1	445.4	0.366540943752687	-0.114981666574753
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	2	202.6	0.725759068962002	0.224447582772908
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	3	129	1.35537087024763	0.150204723193948
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	4	128.6	1.01058503774596	0.665239962106995
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	5	137	0.385123863541008	0.676697823412522
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	6	164.3	0.669167219302828	0.488022125095137
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	7	134.2	1.46804764874719	0.270045789088044
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	8	106.8	2.04122607549233	0.409493500600369
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	9	74	1.96514150142287	0.838390695678339
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	10	71.2	0.807474713150752	1.08220309977768
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	11	136.9	0.43254770607542	1.22400749607932
"BH-01717"	"NRB"	1040	"BW int saline|cold"	"BW-resident"	"f"	12	101.5	0.474941630974238	0.857516286050922
"BH-01719"	"WRB"	550	"BW Low saline|shift"	"Trans-habitat"	"f"	1	595	0.304372504534888	-0.0272543808756738
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	1	405.7	1.23581145104137	0.283681518687525
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	2	193.6	0.774225853155215	0.251998928660252
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	3	141.5	1.44358372281823	0.40509111623107
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	4	157.3	1.97482628218692	0.68074063113356
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	5	159.3	2.02622202330721	1.30378006141132
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	6	95.8	0.50227051657259	1.10597403171434
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	7	168.1	0.880311824525786	1.08955498449153
"BH-01722"	"NRB"	950	"BW high saline|cold"	"BW-resident"	"f"	8	108.5	1.83976547377131	0.927036057763485
