"ID"	"age"	"cohort"	"capt"	"TL_mm"	"weight_g"	"sex"	"date"	"core"	"lifeyear"	"year"	"increment_um"	"rad_um"	"total_rad_um"	"quality"
"BH-01569"	2	2018	"BEG"	550	NA	"m"	2020-02-28	171.4	1	2019	552.4	552.4	815.8	3
"BH-01569"	2	2018	"BEG"	550	NA	"m"	2020-02-28	171.4	2	2020	263.4	815.8	815.8	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	1	2011	423.1	423.1	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	2	2012	188.3	611.4	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	3	2013	179.8	791.2	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	4	2014	209.4	1000.6	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	5	2015	150	1150.6	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	6	2016	129.6	1280.2	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	7	2017	144.4	1424.6	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	8	2018	143	1567.6	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	9	2019	140.9	1708.5	1837.3	3
"BH-01570"	10	2010	"BEG"	980	NA	"f"	NA	93.5	10	2020	128.8	1837.3	1837.3	3
"BH-01571"	2	2018	"BEG"	520	NA	"f"	2020-02-28	97.3	1	2019	517.9	517.9	799.2	3
"BH-01571"	2	2018	"BEG"	520	NA	"f"	2020-02-28	97.3	2	2020	281.3	799.2	799.2	3
"BH-01576"	2	2018	"BEG"	570	NA	"f"	2020-02-28	180.9	1	2019	591.4	591.4	866.9	3
"BH-01576"	2	2018	"BEG"	570	NA	"f"	2020-02-28	180.9	2	2020	275.5	866.9	866.9	3
"BH-01580"	2	2018	"BEG"	490	NA	"f"	2020-02-28	88.6	1	2019	690.9	690.9	999.9	3
"BH-01580"	2	2018	"BEG"	490	NA	"f"	2020-02-28	88.6	2	2020	309	999.9	999.9	3
"BH-01582"	7	2013	"BEG"	830	NA	"f"	NA	124.8	1	2014	434.6	434.6	1422.6	3
